,tweet_id,name,dogs_stage,retweet_count,favorite_count,rating,dogs_type,conf
127,874296783580663808,Jed,pupper,4308.0,26651.0,13.0,Cocker_Spaniel,0.437216
128,873213775632977920,Sierra,pupper,1667.0,7467.0,12.0,Vizsla,0.6197819999999999
129,871762521631449091,Rover,pupper,3678.0,20787.0,12.0,Labrador_Retriever,0.921393
130,672988786805112832,Schnozz,pupper,314.0,1039.0,10.0,Lakeland_Terrier,0.8366319999999999
131,673295268553605120,Eve,pupper,3484.0,8046.0,18.0,Golden_Retriever,0.889241
132,673342308415348736,Django,pupper,649.0,1362.0,10.0,Chihuahua,0.013559200000000002
133,866450705531457537,Jamesy,pupper,32883.0,106827.0,13.0,French_Bulldog,0.905334
134,673612854080196609,Jeffri,pupper,802.0,1691.0,17.0,Newfoundland,0.223101
135,673656262056419329,Albert,pupper,265.0,769.0,10.0,Bull_Mastiff,0.700625
136,672975131468300288,Chuckles,pupper,1015.0,1813.0,10.0,Pug,0.8364209999999999
137,772193107915964416,Willem,pupper,1612.0,6665.0,12.0,Pembroke,0.367945
138,778027034220126208,Sophie,pupper,1885.0,7320.0,27.0,Clumber,0.946718
139,699801817392291840,Cooper,pupper,1088.0,3345.0,11.0,Golden_Retriever,0.808978
140,776477788987613185,Huck,pupper,3249.0,9858.0,11.0,Labrador_Retriever,0.8848389999999999
141,837110210464448512,Clark,pupper,2731.0,17480.0,13.0,Siberian_Husky,0.767696
142,677269281705472000,the,pupper,790.0,2164.0,10.0,Shetland_Sheepdog,0.656616
143,676603393314578432,Godzilla,pupper,440.0,1280.0,19.0,Whippet,0.8770209999999999
144,700864154249383937,a,pupper,685.0,2828.0,12.0,Kuvasz,0.8058569999999999
145,702598099714314240,Sansa,pupper,3712.0,11332.0,11.0,Kelpie,0.219179
146,773547596996571136,Chelsea,pupper,7126.0,24553.0,11.0,Norwegian_Elkhound,0.372202
147,773985732834758656,Winnie,pupper,4492.0,11925.0,11.0,Pug,0.10957
148,675845657354215424,Pepper,pupper,1000.0,2477.0,10.0,Pug,0.8839520000000001
149,701545186879471618,Millie,pupper,680.0,2902.0,10.0,Border_Collie,0.280893
150,845306882940190720,Pickles,pupper,6039.0,25225.0,12.0,Irish_Water_Spaniel,0.567475
151,793195938047070209,Lily,puppo,6547.0,17063.0,12.0,Labrador_Retriever,0.654762
152,889531135344209921,Stuart,puppo,2321.0,15359.0,13.0,Golden_Retriever,0.953442
153,751132876104687617,Cooper,puppo,1480.0,5610.0,10.0,Labrador_Retriever,0.92939
154,874012996292530176,Sebastian,puppo,11007.0,35501.0,13.0,Cardigan,0.806674
155,738537504001953792,Bayley,puppo,1759.0,5575.0,11.0,Chow,0.808737
156,787717603741622272,Tonks,puppo,3240.0,11416.0,13.0,German_Shepherd,0.992339
157,743253157753532416,Kilo,puppo,1366.0,4624.0,10.0,Malamute,0.442612
158,790946055508652032,Betty,puppo,5496.0,18601.0,12.0,Golden_Retriever,0.245773
159,802239329049477120,Loki,puppo,3040.0,10132.0,12.0,Eskimo_Dog,0.482498
160,878776093423087618,Snoopy,puppo,4319.0,19763.0,13.0,Italian_Greyhound,0.734684
161,819952236453363712,Oliver,puppo,1369.0,5927.0,13.0,American_Staffordshire_Terrier,0.925505
162,816829038950027264,Betty,puppo,5496.0,0.0,12.0,Golden_Retriever,0.245773
163,867421006826221569,Shikha,puppo,2697.0,16755.0,12.0,Eskimo_Dog,0.6164569999999999
164,744995568523612160,Abby,puppo,716.0,3277.0,19.0,Old_English_Sheepdog,0.4274810000000001
165,825026590719483904,Pablo,puppo,1483.0,7020.0,12.0,Eskimo_Dog,0.524454
166,803773340896923648,Diogi,puppo,3220.0,11203.0,12.0,Miniature_Pinscher,0.817066
